Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
47.71950309;19.41774765;62.43127967;38.80886061;50.92281814;29.15712671;96.00317209;56.07518006;60.49692639;49.92794407;48.04890654;45.14532558;45.14508072;48.26271182;69.09339469;56.54968757;51.55581089;56.67812685;50.731827
34.54320343;-6.306836439;17.65029618;35.62540998;51.33040852;18.74643316;29.17198385;49.62988211;45.80710763;54.8275772;37.5026138;52.28377441;46.14403533;47.48285721;65.49943571;50.40463467;50.32069984;55.5332236;39.00696301
8.241449855;-20.20988486;-23.0061889;19.38100102;30.05610695;2.804052023;-27.13450958;25.87775004;21.36571141;39.5010404;11.55922325;32.81;28.74946485;22.47940005;36.27752314;21.9985255;24.22371919;28.88740903;10.914196
-14.75440112;-16.55085221;-42.93268138;4.581806493;2.209438981;-9.118963305;-44.00062103;0.622451523;3.742154438;18.1394212;-10.81873829;1.139317463;4.2747621;-9.922861931;1.952053011;-8.799642688;-8.952603054;-4.416740732;-16.71356161
-22.08861857;-1.928172589;-40.35716143;1.172826091;-14.37254761;-11.05367318;-22.24607227;-10.87601517;2.310263045;6.309872381;-12.73602922;-21.13795139;-12.38124956;-29.18447836;-16.68207446;-22.81076806;-28.17364102;-23.30254891;-28.90763244
-13.31220567;11.12103316;-26.4084577;7.752139886;-11.70585536;-4.3103213;12.06139799;-4.35981723;13.46895508;9.947930255;8.564367215;-20.59970586;-13.33716336;-25.64809984;-12.54300209;-14.51302376;-23.86482446;-18.90795501;-22.42558566
1.456704542;14.11233269;-14.89817132;14.301452;3.887946019;4.281752884;29.96285551;11.59612359;25.34981048;22.50499291;39.87945522;-0.6561532;-2.45956002;-6.328745063;4.960577491;5.829137516;-3.36758183;0.766062697;-6.521929476
10.22724984;8.301688802;-12.30626335;11.47918088;18.11374193;7.905269037;21.38875011;23.11;28.31673694;31.64516273;61.54512994;22.49367219;8.973466398;11.86537011;19.3493802;21.57802871;16.24946434;18.70149158;5.259336997
7.970204423;2.111208241;-15.20010464;-1.494882707;20.13187081;4.645607665;-0.315915842;21.57440104;22.20493025;29.50225635;60.91425351;32.77128335;11.7121494;15.49652892;20.3566586;22.61465534;21.6360425;22.31361053;5.385533457
-1.039740621;3.130660439;-15.74029535;-16.60547319;10.010373;-1.844599252;-12.97951478;9.211893215;14.66563413;18.29270423;39.97632619;25.70028892;5.402353625;3.970301589;10.56224766;11.67483359;12.22176178;11.91547204;-3.193417322
-8.308730689;11.62925937;-9.649142252;-24.01447515;-2.979012124;-5.958606837;-5.802742503;-3.979514207;12.94849689;7.432630932;12.32642419;10.00647954;-2.262142588;-11.76978521;1.078501472;0.066600955;-1.459148988;-1.637714938;-11.13784309
-8.663266876;20.780399;0.123240123;-19.93952241;-8.82047101;-4.779066136;11.84568091;-8.635342709;16.97197377;5.320826615;-7.08260652;-0.863502632;-2.785493922;-19.11702197;1.050603731;-2.624418229;-7.640676777;-7.03138072;-11.19253437
-3.897404539;22.96360927;6.485571641;-8.900626258;-4.582230131;-0.022260718;19.53968608;-2.830245102;19.9372554;12.84970579;-11.14808999;0.29820194;5.816270072;-13.7004953;10.17122;4.035785076;-2.730932187;-1.480858472;-3.83453073
-0.066955784;16.52502282;4.739750971;0.982177401;4.431312543;3.943280116;4.139786033;7.651848522;15.6613033;23.62304173;-2.530718567;9.84756673;17.58329757;-1.605868883;20.00978295;12.41700629;7.110878991;8.386513937;4.113492476
-1.490763067;7.271831574;-3.208439126;5.013998847;10.22853564;3.977595646;-28.46162501;14.89621644;5.621295641;29.96261494;11.44251105;17.97501345;23.85494559;6.916858391;22.12594924;14.55269732;12.51892169;13.4799473;5.981348355
-6.969424662;3.59416448;-10.30287901;5.062759549;9.010444899;0.599336078;-57.74271451;15.16112141;-1.095791906;29.18033442;25.2549802;17.89386439;20.50199735;6.216789473;15.47207641;9.302248426;9.259667538;10.35493574;0.925643197
-11.3118761;9.439206303;-9.934412301;6.462289807;3.574454167;-2.869197932;-64.85460757;10.90272065;4.638493178;24.93465081;37.48515601;11.49950352;11.12898401;-0.893628226;6.834821238;2.852225835;1.237829016;3.510677202;-5.912487198
-10.39379048;20.99965255;-1.001085985;11.99722226;-0.16734153;-3.398194919;-47.0464929;7.584451487;23.37654798;23.08194948;48.09652137;7.052861466;3.871544798;-6.738706698;4.462838014;2.618171626;-3.784951771;0.464119836;-8.401913516
-4.993496159;29.74368079;11.39661406;18.7185276;1.14362428;-0.786323692;-18.75074195;8.632384462;45.16028503;26.10989849;54.75914093;11.42279132;4.756748161;-5.972131146;10.81303194;10.28528195;-1.381874265;4.50641646;-4.857370828
-0.007267652;29.16838363;19.72735001;20.53893394;5.617403126;2.439056581;0.623757038;12.92431826;56.43137385;31.08122715;52.78631215;23.80973719;13.17412476;0.097032176;20.67842536;20.14517852;5.892342306;11.70986716;0.811977346
0.089115557;19.7662059;19.03571789;14.18451659;8.458224914;3.433315019;1.487363887;16.50816268;50.3345061;32.61149962;39.31178865;36.20768711;22.90682444;5.421757335;25.94286005;24.00242527;11.26551618;14.64164327;2.942428271
-4.643253965;8.378498395;9.534816798;2.977750833;6.802484689;1.507546748;-10.39260514;16.49683074;31.92084007;27.95179921;17.73759806;39.919118;27.43673617;5.094664286;22.48364432;18.19803794;10.02488324;9.228494847;-0.719226576
-9.592133224;2.759080296;-4.491362757;-5.175165741;2.493408164;-1.452040554;-20.91386316;13.52415598;13.96386762;19.60933738;-2.363191446;32.43506599;24.92;-0.307435296;13.24262097;6.660677923;3.570980947;-1.407895681;-7.120568638
