Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
8.508770;10.494370;0.656751;7.519027;0.531027;1.110594;-17.767890;8.178507;16.862700;9.878149;-1.167819;13.095840;-29.649960;-4.907036;-25.623090;-14.899200;0.552397;-0.295169;-1.539728
-17.049420;-16.837800;-22.484720;-8.352359;-22.987500;0.660790;-42.027940;-18.901030;-12.831550;-14.357800;-36.872370;-17.554820;-77.887280;-10.322110;-26.155980;-27.863930;-16.400020;-17.222830;-19.557680
-32.055060;-33.385500;-35.666890;-21.057630;-33.952440;0.244024;-49.818960;-27.350380;-25.140490;-29.225080;-47.625000;-27.463000;-92.938300;-9.325119;-11.833360;-30.676900;-20.243150;-23.617280;-22.084860
-30.807660;-32.999390;-35.086480;-27.601130;-29.510900;0.305875;-35.936400;-17.761240;-16.539320;-32.046880;-26.182530;-11.847220;-69.377770;-3.339052;7.405731;-22.224550;-8.987424;-17.529680;-8.617465
-17.863970;-19.999610;-24.910770;-28.289800;-16.848020;0.977118;-9.052218;-1.063601;2.075330;-27.414330;13.741950;17.902740;-25.586270;2.651743;20.036240;-7.293533;9.452138;-4.794608;10.849580
-3.675199;-5.037941;-13.417800;-25.613940;-6.917525;1.811014;14.796070;10.064280;15.063670;-22.989190;46.643270;42.867740;10.259960;4.004357;21.596650;6.412798;23.376450;5.531110;23.298160
3.418492;2.821993;-6.939436;-22.030250;-6.168511;2.007344;23.671260;9.423944;14.310150;-23.657100;52.557060;49.868050;19.840450;-0.144575;17.057690;12.875440;25.633540;7.627120;21.884170
2.686922;1.877873;-6.059413;-18.452780;-12.592070;1.029752;17.385560;-0.211995;4.260392;-28.358160;30.284930;39.648000;5.480187;-6.419202;15.341560;11.109220;18.002880;2.570731;10.083420
0.165461;-2.431427;-6.447971;-14.373920;-18.622040;-0.859410;5.885547;-10.880440;-3.535261;-31.663550;-2.583397;24.563760;-14.865410;-9.882467;21.022640;5.235556;8.810773;-3.203550;-1.851316
2.747623;-2.824413;-3.092966;-9.085916;-17.919460;-2.627518;0.398168;-15.656730;-0.834772;-28.499380;-22.266860;18.388630;-23.074210;-7.676623;30.378600;1.343765;6.179399;-3.114192;-4.871911
12.273130;3.980420;5.623503;-2.735273;-10.313880;-3.130333;4.859704;-12.684730;11.014750;-18.213800;-14.673830;26.323580;-14.138630;-0.911032;34.964170;3.235883;12.296780;4.751038;2.703651
24.231040;15.244040;16.946120;3.596134;-1.179593;-1.953245;14.311230;-4.955724;23.655380;-5.016640;16.290610;42.320890;2.378462;6.390105;29.341460;9.850054;22.732840;16.605460;15.123050
31.669290;24.931530;26.079870;8.557159;3.655457;0.204940;20.738840;2.836090;29.863130;5.189168;52.668240;54.723570;12.258760;10.210580;16.167200;16.059300;30.568040;26.009330;24.453280
30.730750;28.396490;29.554640;11.146490;2.842834;1.938541;20.636310;7.500805;29.477380;8.889111;74.637600;55.099560;8.748928;9.057678;4.317251;16.306510;31.536530;28.302210;26.471680
23.258130;25.174980;26.972350;10.823290;0.207210;2.079950;17.550810;8.665768;28.083430;6.899361;72.164520;43.586990;-2.909047;4.420014;1.791232;8.598490;26.210400;23.106930;22.671740
14.668170;18.125710;20.232840;7.376841;0.982333;0.517578;17.677020;8.145643;30.497370;3.088984;49.158270;27.627910;-11.181100;-0.738336;9.491083;-3.929700;18.189290;13.509740;17.537270
9.274385;10.334920;11.488150;1.093217;7.111264;-1.700626;22.863690;8.467885;35.837020;1.308696;19.185060;16.221000;-8.360345;-3.982999;20.986590;-15.047780;10.567840;3.197776;14.106000
7.113040;2.773577;1.826707;-6.731496;15.645810;-3.055418;27.691270;11.509440;39.052400;3.008631;-2.947598;14.534110;3.582220;-4.438616;28.146760;-19.705500;3.908509;-5.894635;11.760490
4.731083;-5.430481;-8.376548;-13.571560;21.370150;-2.556493;23.631590;17.565220;37.195340;7.043239;-8.222262;22.292350;15.653790;-2.475847;27.668300;-17.527230;-2.917532;-13.796020;7.739884
-1.092223;-14.801840;-18.221460;-16.435450;21.131830;-0.376753;6.938054;24.970310;33.770410;11.235040;3.964122;35.730570;19.859080;1.183174;23.134670;-12.958210;-10.396840;-20.978850;0.478228
-10.076240;-23.766460;-25.705770;-13.490940;16.116260;2.275684;-16.608160;30.631180;36.059730;14.073680;27.279360;50.413760;15.442670;5.962957;21.336060;-11.860540;-17.068770;-26.879430;-8.490528
-18.371660;-29.120590;-28.593450;-5.454164;10.338060;3.916316;-34.568060;31.708520;47.128330;15.270240;52.045010;62.645570;8.500815;11.250560;26.396870;-16.975430;-20.500980;-29.869930;-15.698120
-21.567500;-28.366800;-26.028940;4.490695;6.979936;3.654360;-36.485810;27.801290;59.998110;15.176710;69.173750;69.440590;6.110920;16.048100;36.677930;-25.588770;-19.492820;-28.572180;-18.694000
-18.091710;-21.844700;-19.408260;12.458500;5.920752;1.648429;-21.565860;21.990420;60.550950;14.036990;73.485030;68.612430;10.483020;19.115610;46.556780;-31.193270;-15.300230;-23.171210;-17.959020
-10.197840;-12.753850;-11.625590;16.141950;4.495822;-1.056373;0.698299;19.280270;38.339540;11.891480;65.641810;59.952890;17.930470;19.664250;50.907440;-28.014090;-10.658090;-15.486310;-16.067900
-1.948821;-4.992000;-5.235087;15.896040;0.540529;-3.129660;17.412410;22.780560;-3.076345;9.057439;51.811410;46.593250;22.855950;17.987130;48.235890;-15.138330;-7.481411;-7.765451;-14.997030
