Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-1.746222275;-65.88174572;-13.7179407;-45.9197043;-4.177837304;0.048430373;-153.9902785;-142.7423001;-99.56020869;-9.951926624;-24.1231444;-97.88363064;-83.79517287;-52.52638591;-18.17879899;-6.795300757;-34.99025918;-70.78784;-11.30952165
-1.96708506;-51.90059235;-8.365100531;-41.05731272;-1.572207863;0.470404953;-134.8071084;-116.3707281;-74.00926635;-10.33700973;-12.26936779;-79.16901948;-62.73578728;-40.95680323;-8.56702078;6.034746802;-22.48706328;-53.45021042;-9.099204237
-5.448370102;-30.71978409;-6.404273578;-29.02904889;0.091034803;0.826700303;-80.68330923;-58.67597177;-37.96922311;-11.3280041;-11.09031952;-49.48505759;-33.1697778;-19.14334881;-0.609506852;9.39902157;-10.49506074;-31.12408572;-4.280193389
-11.46048924;-13.07942525;-8.389299562;-15.95967913;-0.040432794;1.007730858;-21.88873282;0.722393961;-5.255815306;-12.72204281;-16.07078463;-23.08452816;-6.75163793;1.635069777;3.169796324;4.517029206;-2.958128858;-13.03819784;0.512110415
-18.12111596;-6.727618745;-12.93986236;-7.594880811;-2.141350302;1.002480175;13.72190457;34.59358674;13.56351328;-14.3505212;-20.32644025;-10.23767949;7.821058934;12.80878618;1.95704304;-3.003280435;-0.777933524;-4.588840354;3.012002528
-23.37432343;-11.95426377;-17.63258953;-6.328934808;-5.456966358;0.888661594;17.33861737;34.6815769;16.61858395;-16.25517334;-19.50387071;-11.75981809;9.339708799;13.26130605;-2.406109611;-7.184228483;-2.072930018;-5.026307601;2.636014103
-25.94163132;-22.28733895;-20.33512412;-10.59572479;-8.521134491;0.767728382;1.013497563;14.18775941;10.10174849;-18.50985958;-14.36741467;-20.36274182;3.49438991;8.480058594;-6.26436753;-5.486786307;-4.113865269;-9.302357842;0.57024344
-25.73359418;-29.43963034;-20.19900242;-16.56335408;-9.828703667;0.695046998;-14.76579424;-4.520048828;2.805231108;-20.84230976;-9.329775089;-26.9622495;-1.940063477;5.423890811;-6.515141146;0.222608378;-5.302870254;-12.22897502;-1.28686471
-23.61581322;-28.71431427;-17.81168922;-20.68360563;-8.640400413;0.65526214;-16.91602938;-6.790872196;0.255392266;-22.47171135;-8.349018613;-26.82048337;-2.378629896;7.368493677;-2.855657931;5.892526357;-5.768225087;-11.74120614;-1.665253958
-20.80041451;-21.19147263;-14.55899051;-21.4633169;-5.438507371;0.595284469;-7.101713891;5.547715591;2.438865528;-22.47023041;-11.57674003;-21.32037961;1.504246377;12.45168453;1.917013676;8.656885708;-6.4309141;-9.209463065;-0.600078125
