Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-54.65872135;-14.58797796;-51.24965179;-57.48020276;-29.21546152;-0.851122121;-40.19393809;-19.51903033;1.595255422;-72.37889064;-65.21769678;6.777399847;5.787691778;9.705591489;5.693442881;-9.816981936;23.08966591;-39.24772158;5.463985145
-31.35407872;-19.29105373;-62.99714101;-51.60637809;-34.63793633;-3.819679844;-69.91621027;-26.27916231;-10.3647145;-78.00391599;-62.29472062;1.648628695;-3.451339463;6.010783452;9.075970893;-1.899608922;21.47;-38.16582252;0.488036165
-0.141322689;-19.34018528;-48.36290313;-31.23983044;-29.12482883;-5.563157847;-73.35083139;-25.30220805;-16.05345769;-50.89488964;-38.61048321;-2.966809049;-11.33677764;2.007101246;8.948191588;7.59381967;16.66533007;-26.42519977;-3.817077489
20.92384757;-14.08254264;-17.66768672;-6.570301726;-17.26163667;-4.68472699;-50.79733853;-19.74237104;-15.96863918;-10.75161582;-7.165191613;-3.558505221;-14.97330405;-0.111937639;6.743912224;14.71104564;12.414969;-9.052881873;-4.219147403
23.12820061;-6.757604587;9.168417474;10.36778219;-6.784325071;-1.607359912;-19.14506443;-14.60739107;-13.72611924;16.92501893;15.67528243;0.297964132;-14.03013812;0.278651033;4.679089372;16.38672935;10.8837116;5.252895023;-0.499073306
12.36241047;-2.071567711;16.99874704;12.86995626;-3.296837006;1.73171612;0.859946059;-13.16711715;-12.6082659;18.37079403;20.12124469;5.670225486;-10.55140511;1.874922081;4.324188413;12.26405488;11.15176766;9.613110774;4.471284068
2.872232629;-2.665594464;5.588502763;2.906868356;-6.90811687;3.307988695;-0.497998012;-15.02819631;-13.09647919;-0.647484637;8.2662836;8.644709039;-7.333563899;2.579413155;5.774305637;4.915330191;10.34547543;3.192403387;7.005245702
5.073920685;-7.251011405;-11.97786238;-11.27517385;-13.02494322;2.451972964;-16.29475334;-17.14923325;-13.16377683;-21.70418328;-8.63698798;7.415467746;-6.116482843;1.182879368;7.853070631;-1.596893336;6.340533239;-8.707985871;5.387230936
17.46434953;-11.82112681;-20.62784321;-21.13689274;-16.31236215;0.216894366;-30.30346183;-16.73136092;-10.66859249;-28.80276346;-18.55369764;3.591475503;-6.805035861;-1.764302925;9.066149245;-3.904226151;-0.266623292;-18.53814069;1.005551639
28.84918119;-12.88388232;-14.8688753;-23.00805545;-14.57307484;-1.54918222;-30.58830836;-13.53218017;-5.570871614;-19.5650072;-16.49083259;0.726645271;-8.051280439;-4.537270887;8.577830424;-1.032803833;-6.533414439;-21.44550492;-2.937786531
